1,Archäologischer Anzeiger,AA
2,"""Archaiologika Analekta ex Athenon""",AAA
3,Annuario dell'Accademia etrusca di Cortona,AAEC
4,Atti dell'Accademia Ligure di Scienze e Lettere,AALig
5,"Atti della Accademia di Scienze morali e politiche della Società nazionale di Scienze, Lettere ed Arti di Napoli",AAN
6,Acta Antiqua Academiae Scientiarum Hungaricae,AAntHung
7,"Atti dell'Accademia Pontaniana, Napoli",AAP
8,"Atti e Memorie dell'Accademia Patavina di Scienze, Lettere ed Arti. Classe di Scienze morali, Lettere ed Arti",AAPat
9,Annales archéologiques de Syrie,AAS
10,Annual of the American Schools of Oriental Research,AASOR
11,"Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin. Kl. für Sprachen, Literatur und Kunst",AbhBerl
12,Abhandlungen der Akademie der Wissenschaften in Mainz. Geistes- und sozialwiss. Kl.,AbhMainz
13,Abhandlungen der Bayerischen Akademie der Wissenschaften. Phil.-hist. Kl.,AbhMünch
14,Acta classica Universitatis Scientiarum Debrecensis,ACD
15,Annuaire du Collège de France,ACF
16,Acta Classica,AClass AClas
17,"Acta Archaeologica, Copenhague",ActaArch
18,Acta Archaeologica Academiae Hungaricae,ActaArchHung
19,Acta Hyperborea. Danish Studies in Classical Archaeology,ActaHyp
20,Acta Orientalia Academiae Scientarium Hungaricae,ActaOrHung
21,Annales de l'École des Hautes Études de Gand,AEHEG
22,Atene e Roma,AeR
23,Aevum antiquum,Aevum Aevum(ant)
24,Anales de Filología Clásica,AFC
25,Arti Figurative,AFig
26,"Annali della Facoltà di Lettere, Filosofia e Magistero dell'Università di Cagliari",AFLC
27,Archivio Giuridico,AG
28,Archiv für Geschichte der Philosophie,AGPh
29,Ancient History,AH
30,Ancient History Bulletin,AHB
31,Anuario de historia del derecho español,AHDE
32,Archives d'Histoire du Droit oriental,AHDO
33,Annales d'histoire économique et sociale,AHE
34,Archive for History of Exact Sciences,AHES
35,American Historical Review,AHR
36,Annali dell'Istituto Universitario Orientale di Napoli. Dipartimento di Studi del mondo classico e del Mediterraneo antico. Sezione linguistica,AION(filol)
37,American Journal of Archaeology,AJA
38,American Journal of Ancient History,AJAH
39,American Journal of Numismatics,AJN
40,American Journal of Philology,AJP
41,American Journal of Semitic Languages and Literatures,AJSL
42,Archiv für Kulturgeschichte,AKG
43,Der alte Orient,AltO
44,Mitteilungen des Deutschen Archäologischen Instituts. Athenische Abteilung,AM
45,Analecta Bollandiana,AnalBoll
46,Analecta Romana Instituti Danici,AnalRom
47,Anatolian Studies,AnatSt
48,Ancient Egypt,AncEg
49,Ancient Narrative,AncNarr
50,Ancient Philosophy,AncPhil
51,Ancient Society,AncSoc
52,Ancient World,AncW
53,"Annales (Histoire, Sciences sociales)",Annales (HSS)
54,Annali dell'Istituto Universitario Orientale di Napoli. Seminario di studi del mondo classico. Sezione di archeologia e storia antica,AnnArchStorAnt
55,Annali della Facoltà di Lettere e Filosofia di Bari,AnnBari
56,"Annales (Économie, Sociétés, Civilisations)",AnnEconSocCiv
57,Annali della Facoltà di Lettere e Filosofia della Università di Napoli,AnnNap
58,Annales de l'Université de Paris,AnnParis
59,Annali della Facoltà di Lettere e Filosofia dell'Università di Perugia,AnnPerugia
60,Annuaire de l'Institut de Philologie et d'Histoire Orientales [Bruxelles],AnnPhilHist
61,Annali della Scuola Superiore di Pisa. Cl. di Lettere e Filosofia,AnnPisa AnnPisa ser. II
62,Annali di storia dell'esegesi,AnnSE
63,Annali Triestini,AnnTriest
64,The American Numismatic Society Museum Notes,ANSMN
65,L'Antiquité classique,AntCl
66,Antiquaries Journal,AntJ
67,Antike Kunst,AntK
68,Antiquité tardive,AntTard
69,Antike Welt,AntW
70,Anzeiger für die Altertumswissenschaften,AnzAW
71,Anzeiger der Österrischen Akademie der Wissenschaften in Wien. Phil.-hist. Kl.,AnzWien
72,Archiv Orientalni,AO
73,Archiv für Orientfosrchung,AOF
74,Analecta Papyrologica,APapyrol
75,Abhandlungen der Preussischen Akademie der Wissenschaften,APAW
76,Aquileia Nostra,AquilNost
77,Archeologia classica,ArchCl
78,"""Archaiologikon Deltion""",ArchDelt
79,"""Archaiologike ephemeris""",ArchEph
80,Archaeological Ertesitö,ArchErt
81,Archivo Español de Arqueología,ArchEspArq AEA
82,Archäologisches Korrespondenzblatt,ArchKorrBl
83,Archiv für Papyrusforschung und verwandte Gebiete,ArchPF
84,Archiv für Religionswissenschaft,ArchRW
85,Appunti romani di filologia,ARF
86,Archiv für Religionsgeschichte,ARG
87,Annales du Service des antiquités d'Égypte,ASAE
88,Annuario della Scuola archeologica di Atene e delle Missioni italiane in Oriente,ASAtene
89,Annali di scienze religiose,ASR
90,Anglican Theological Review,AThR
91,Atti del Centro ricerche e documentazione sull'antichità classica,AttiCAntCl
92,Atti e Memorie dell'Accademia Toscana La Colombaria,AttiFir
93,Atti e Memorie della Società Magna Grecia,AttiMGrecia
94,"Atti dell'Accademia di Scienze, Lettere e Arti di Palermo",AttiPal
95,Atti della Pontificia Accademia Romana di Archeologia,AttiPontAcc
96,"Atti della Accademia delle Scienze di Torino. Cl. di Scienze morali, storiche e filologiche",AttiTor
97,"Atti dell'Istituto Veneto di Scienze, Lettere ed Arto. Cl. di scienze morali e lettere",AttiVen
98,Antike und Abendland,AuA
99,Journal of the Australasian Universities Language and Literature Association,AUMLA
100,Annales Universitatis Saraviensis. Philosophische Fakultät,AUS
101,Atti e Memorie dell'Accademia Virgiliana di Mantova,AVM
102,Bulletin de la Classe des Lettres de l'Académie Royale de Belgique,BAB
103,Bulletin of the Australian Centre for Egyptology,BACE
104,Bulletin semestriel de l'Association des Classiques de l'Université de Liège,BAClLg
105,"Bulletin of the Center of Papyrological Studies, Ain-Shams University",BACPS
106,Bulletin de l'Association des Amis des églises et de l'art coptes,BAEC
107,Bulletin de la Société nationale des Antiquaires de France,BAntFr
108,Bulletin de l'Académie Polonaise des Sciences et des Lettres de Cracovie,BAPC
109,Bulletin of the American Schools of Oriental Research,BASOR
